Wilhelm Peterson-Berger,1pnzip6Xgb2Qs3xWHFx6Jt,https://i.scdn.co/image/400c9c90179579ecf70e0ccf8aec8c224c2414b2
Henri Herz,1S7g9vS9FKgRL58StTw43l
Cesare Pugni,2Bd1yI8KlQ6zni5mUfHjc4
Louise Farrenc,3cCP79U05k4MrNSU06eBy2,https://i.scdn.co/image/9e28fe88d5886c6a7963f2421d4e63dcbb61644f
Adolphe Adam,71VUVLmoTKKYfIugkavMeS,https://i.scdn.co/image/e7747c8202d4a9e724c7cc23afb4974671c258b3
Franz Paul Lachner,3WTI4rpJrtBnry5ALqFKwk,https://i.scdn.co/image/108918d508e1f23b659918ac619ea0ae51e25891
Hector Berlioz,11T8SOX82xraocZzUXzkvM,https://i.scdn.co/image/02fa3aaf33c47f77415f17ebaa08be980324970f
Ignaz Lachner,2K024xLePLxJbrNG4zVW7w
Mikhail Glinka,1GEuHbNwTRj4QPyoythtBh,https://i.scdn.co/image/3d094167cc7c7f65623fbd426356c32e1c5cfdcd
Johann Strauss I,4WMHJgeJCssiGW3ssUT7eb,https://i.scdn.co/image/3fc6f24a8bfadde2444e1e95dfb479f05639b357
Fanny Mendelssohn,2Wj0NreQeOfrGxnPIaLcCi,https://i.scdn.co/image/e022a57741294f2b5601929353de2d3ce7241948
Johann Kaspar Mertz,06ZJnihZcaNruiWz4KWbRx,https://i.scdn.co/image/dee9dc8768af68830bc432a8210c46555260ce01
Otto Jonas Lindblad,2iFKcghd6GTtAKEe4eWPP6
Michael William Balfe,7HuGWZ45JRS6T6Mu8yS7zW,https://i.scdn.co/image/85d66758049e6acc653fe1e96cba58527fb944ec
Felix Mendelssohn,6MF58APd3YV72Ln2eVg710,https://i.scdn.co/image/26c5589f0d075be87cdcf66ebd3bdab0fe7e9138
Ludwig Schuncke,2yjQ3NuzLiKUgNuQqzKAbX
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,https://i.scdn.co/image/dd68ecbf195cd1efe59eeca468ccaaf915e4444f
Otto Nicolai,5Cnc0noHxdjlRyiRPPvvjq,https://i.scdn.co/image/f68664019b99283505b8c7a957e3cfd4c50be3ae
Budapest Ferenc Erkel Chamber Orchestra,6GknxwK9Gbjgg3P3Qqyay1,https://i.scdn.co/image/c6bbf294e3fdb5ce3cefcd5e0ac317ff00609b89
Wilhelm Taubert,0xUuarjLZYfAOt6ca0yQkv
Ferdinand David,0Zi3K8wNktyPQ3ZwNLXRvH,https://i.scdn.co/image/583433d00161b66f4fa0ea0fcf1319de662c18e8
Franz Liszt,1385hLNbrnbCJGokfH2ac2,https://i.scdn.co/image/a13888f83f05b60b04c5ac5d34486b4afb8e0557
Ferdinand Hiller,6K4d8IgQ373cKaACnR8WJh
Ambroise Thomas,4b83P4cnmD7hqhoUkgGEsN,https://i.scdn.co/image/eb1899bfcea2cbcdf9af1c0f25e12f69705a3741
Emilie Mayer,4zkusum5eZdIObW4RHOkIh
Friedrich von Flotow,1fiVwfyL3nKnmVz7580kET,https://i.scdn.co/image/403a83743e078f9b6d818a6beede62a82faebefc
Sigismond Thalberg,0UpUHX0xRdD7TLty6bU40x,https://i.scdn.co/image/73225509c8faaf87fc3908d8163a64311e69a781
Alexandre Dubuque,1ZfI9gGhq3Dk0rXFwCgvPP
Stephen Heller,1zgoSczPOOrcC8mkZoiivQ,https://i.scdn.co/image/8bd98c72fa664da20ed407e71c060975c9a7c064
Johann Rufinatscha,4yXTuoHql4EnhEja1zNqUL
Alexander Dargomyzhsky,2e1NJfIScuztewWi4oOnlF,https://i.scdn.co/image/32dd2a6912be6a30c1866f1faeb72c6c951f3269
Charles-Valentin Alkan,07OhqeLloDO7wu0yCaVO2D,https://i.scdn.co/image/f39fec391016b674a9577449c030143113e3f997
Ernst Haberbier,7sDKWxhZuHEtK8WFaGkbq2
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,https://i.scdn.co/image/c4631dcc5c63825db5840869f89cd629a4466c7b
Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,https://i.scdn.co/image/b7f0ce2e219e322971a6ee16fc3f4e31a5a7b973
Adolf von Henselt,1ixDxXnQmZDWEiYPYJxNot
Giuseppe Lillo,15P3fnVfX9DC8l5j3l9Js5
Josephine Lang,5njDMXjq3quQzRy46db3sA
Friedrich Robert Volkmann,3BW8UxKsDs71Lcx8AncOAS
Charles Dancla,72lPlsUJ8DSrHC2cB14Skl
William Sterndale Bennett,7DieDOyD7i2Hb1vtrIr2Ya,https://i.scdn.co/image/68bb41462bca455b605113064fb3164e0ccbaf22
Henry Litolff,5vd0CttoNZCsm9ExI28gkB
Niels Gade,2GZyZiXixfvpfYo5t1kUwx,https://i.scdn.co/image/813cb40a5a760f20a6e545e3416d3524a1c2ec2f
Jacques Offenbach,4OihBPCQzR4GfbzqOY69Xm,https://i.scdn.co/image/ec2ad60345e5badbb0534d272b9990c6abec4504
